NUMBER,MAG_APER,MAGERR_APER,MAG_AUTO,MAGERR_AUTO,MAG_BEST,MAGERR_BEST,KRON_RADIUS,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,ISOAREAF_IMAGE,ALPHAPEAK_J2000,DELTAPEAK_J2000,X_IMAGE,Y_IMAGE,FWHM_IMAGE,FWHM_WORLD,ELONGATION,ELLIPTICITY,CLASS_STAR,FLUX_RADIUS,FILE_NAME,CLASS_OBJECT
3978,-11.0693,0.0118,-11.6513,0.0170,-11.6513,0.0170,3.50,4717.658,147.3241,68,73,148.8958614,+69.1942644,1859.758,1611.275,4.00,0.0002078718,1.297,0.229,0.98,2.164,dataset\i23.cat,None
4859,-11.0591,0.0119,-11.5561,0.0177,-11.5561,0.0177,3.92,4367.798,147.3241,50,57,149.1098213,+69.3307216,399.823,4238.452,3.28,0.0001702322,1.013,0.013,0.98,1.999,dataset\i23.cat,None
1943,-11.0550,0.0119,-12.5891,0.0166,-12.5891,0.0166,5.46,5342.712,147.3241,137,184,148.9493896,+69.1401191,1503.319,560.105,5.62,0.0002919775,1.324,0.245,0.92,5.013,dataset\i23.cat,None
3893,-11.0523,0.0120,-12.5534,0.0126,-12.5534,0.0126,3.92,4263.242,147.3241,155,169,149.1264465,+69.1915124,282.029,1558.770,7.84,0.0004070502,1.350,0.259,0.02,4.019,dataset\i23.cat,fo
1526,-11.0517,0.0120,-11.8464,0.0181,-11.9098,0.0231,3.50,4982.353,147.3241,98,109,149.0352952,+69.1327015,904.524,426.223,3.98,0.0002067037,1.480,0.324,0.85,2.608,dataset\i23.cat,None
764,-11.0489,0.0120,-14.3391,0.0090,-14.0189,0.0088,5.08,6346.947,147.3241,665,768,148.9108041,+69.1253501,1762.177,284.283,28.43,0.001476842,1.320,0.242,0.03,13.683,dataset\i23.cat,None
4827,-11.0489,0.0120,-12.7159,0.0130,-12.7159,0.0130,3.95,4382.508,147.3241,216,231,148.9990248,+69.3181793,1152.632,3997.055,7.71,0.0004007463,1.123,0.110,0.02,4.903,dataset\i23.cat,fo
1875,-11.0469,0.0120,-11.7937,0.0194,-11.8102,0.0213,4.16,5468.042,147.3241,76,89,148.9434180,+69.1373121,1536.207,514.755,5.16,0.0002680397,1.660,0.398,0.94,2.500,dataset\i23.cat,None
4950,-11.0363,0.0121,-12.2428,0.0176,-12.2428,0.0176,5.07,4372.596,147.3241,107,116,149.0253634,+69.3405135,973.662,4426.723,4.89,0.0002539127,1.093,0.085,0.13,3.603,dataset\i23.cat,fo
4842,-11.0349,0.0121,-12.1466,0.0159,-12.1466,0.0159,4.07,4367.341,147.3241,113,121,149.1040825,+69.3307247,439.207,4238.889,5.52,0.0002867494,1.120,0.107,0.03,3.269,dataset\i23.cat,fo
3961,-11.0300,0.0122,-11.8862,0.0165,-12.0566,0.0165,4.01,4714.765,147.3241,72,97,148.9136980,+69.1949506,1736.641,1625.608,4.96,0.0002575547,1.259,0.206,0.98,2.721,dataset\i23.cat,None
152,-11.0257,0.0122,-10.8475,0.0219,-10.8475,0.0219,3.50,8063.519,147.3241,26,26,148.8767753,+69.1123939,1992.744,35.479,2.89,0.0001502372,1.109,0.099,0.95,1.185,dataset\i23.cat,None
3214,-11.0232,0.0123,-11.4545,0.0180,-11.4545,0.0180,3.50,4945.26,147.3241,53,60,148.9119363,+69.1646169,1749.793,1040.245,3.78,0.0001964443,1.149,0.129,0.97,1.931,dataset\i23.cat,None
2486,-11.0222,0.0122,-11.5895,0.0205,-11.5895,0.0205,4.57,4409.144,147.3241,55,58,149.0855063,+69.1478017,560.915,716.708,3.67,0.000190728,1.121,0.108,0.98,2.123,dataset\i23.cat,None
2414,-11.0201,0.0123,-13.1204,0.0138,-12.4291,0.0175,6.56,4919.633,147.3241,156,170,149.0121110,+69.1476097,1064.243,713.561,8.02,0.0004168267,1.700,0.412,0.05,9.183,dataset\i23.cat,None
576,-11.0184,0.0123,-13.0748,0.0133,-13.0748,0.0133,5.17,5148.899,147.3241,236,286,149.0124021,+69.1202377,1064.122,186.137,9.39,0.0004879029,1.234,0.189,0.03,6.607,dataset\i23.cat,None
4001,-11.0154,0.0123,-11.8869,0.0188,-11.6054,0.0197,5.17,4723.114,147.3241,56,62,148.9022912,+69.1950996,1815.008,1627.619,4.17,0.0002167403,1.108,0.098,0.98,2.797,dataset\i23.cat,None
3517,-11.0146,0.0124,-11.7847,0.0210,-11.7847,0.0210,5.12,4793.082,147.3241,63,83,148.9479743,+69.1751258,1503.430,1243.382,3.94,0.0002046283,1.187,0.157,0.98,2.536,dataset\i23.cat,None
1277,-11.0136,0.0124,-11.8735,0.0184,-11.8717,0.0219,4.17,4795.552,147.3241,77,99,149.0657598,+69.1284356,695.014,343.385,4.30,0.0002234496,1.466,0.318,0.87,2.761,dataset\i23.cat,None
963,-11.0132,0.0123,-12.0158,0.0181,-11.9941,0.0189,4.16,4919.818,147.3241,93,102,149.0673518,+69.1238645,685.571,255.907,7.02,0.0003649008,1.580,0.367,0.49,3.075,dataset\i23.cat,None
2848,-11.0101,0.0124,-11.5445,0.0179,-11.5445,0.0179,3.50,4917.529,147.3241,58,81,148.9842320,+69.1551387,1254.645,857.726,4.12,0.0002141324,1.264,0.209,0.97,2.095,dataset\i23.cat,None
3347,-11.0100,0.0124,-11.8063,0.0186,-11.8063,0.0186,4.13,4844.854,147.3241,82,90,148.9275463,+69.1684688,1643.210,1114.860,5.06,0.0002627028,1.084,0.078,0.04,2.575,dataset\i23.cat,None
703,-11.0074,0.0124,-11.5928,0.0171,-11.5928,0.0171,3.50,5146.18,147.3241,62,67,149.0156080,+69.1193028,1040.794,167.310,4.23,0.0002196608,1.151,0.131,0.98,2.209,dataset\i23.cat,None
3042,-11.0070,0.0124,-11.4905,0.0205,-11.4905,0.0205,4.23,4897.776,147.3241,50,55,148.9776555,+69.1603315,1299.601,958.462,3.54,0.000183967,1.408,0.290,0.96,1.974,dataset\i23.cat,None
2985,-11.0041,0.0124,-11.3513,0.0180,-11.3513,0.0180,3.50,4902.154,147.3241,41,49,148.9778045,+69.1584097,1299.510,921.229,3.40,0.0001768416,1.091,0.084,0.97,1.799,dataset\i23.cat,None
3501,-11.0013,0.0125,-12.3302,0.0203,-12.1085,0.0217,5.53,4791.215,147.3241,102,134,148.9443214,+69.1752802,1527.832,1246.597,6.59,0.0003423712,2.097,0.523,0.89,4.812,dataset\i23.cat,None
1544,-11.0012,0.0125,-11.4599,0.0191,-11.5184,0.0218,3.50,4987.116,147.3241,53,61,149.0350029,+69.1320783,907.263,414.169,3.41,0.0001773451,1.350,0.259,0.98,1.959,dataset\i23.cat,None
3305,-11.0003,0.0125,-11.5424,0.0198,-11.3541,0.0192,4.62,4845.123,147.3241,39,42,148.9769149,+69.1669276,1305.016,1084.862,3.52,0.0001826117,1.218,0.179,0.97,2.107,dataset\i23.cat,None
3334,-10.9992,0.0125,-12.3870,0.0174,-12.3870,0.0174,4.26,4912.098,147.3241,145,178,148.8973122,+69.1686591,1849.614,1119.507,12.15,0.0006309539,2.233,0.552,0.03,4.289,dataset\i23.cat,None
2717,-10.9986,0.0125,-11.7399,0.0200,-11.5081,0.0203,5.07,5137.874,147.3241,43,56,148.9249797,+69.1528337,1660.393,814.777,10.20,0.0005300118,1.893,0.472,0.84,2.507,dataset\i23.cat,None
2584,-10.9984,0.0125,-11.3282,0.0182,-11.3282,0.0182,3.50,5677.947,147.3241,44,63,148.8820898,+69.1496384,1955.199,753.147,3.14,0.0001631645,1.140,0.123,0.96,1.736,dataset\i23.cat,None
508,-10.9959,0.0126,-11.6820,0.0178,-11.7254,0.0212,3.50,5078.634,147.3241,73,79,149.0561150,+69.1171676,762.224,127.242,3.63,0.0001887585,1.119,0.107,0.90,2.363,dataset\i23.cat,None
470,-10.9840,0.0127,-14.5421,0.0055,-14.6266,0.0048,3.50,6861.035,147.3241,924,978,148.9112536,+69.1227014,1755.974,228.952,52.62,0.00273335,1.216,0.178,0.03,9.560,dataset\i23.cat,None
2802,-10.9826,0.0127,-12.0168,0.0196,-11.8761,0.0194,4.77,4882.521,147.3241,85,89,148.9964927,+69.1555557,1171.384,865.755,4.98,0.0002587837,1.427,0.299,0.40,3.152,dataset\i23.cat,None
3642,-10.9816,0.0127,-12.0944,0.0169,-12.0944,0.0169,4.18,4294.149,147.3241,98,113,149.0851766,+69.1799004,563.905,1334.448,11.81,0.00061359,1.169,0.144,0.05,3.296,dataset\i23.cat,None
2731,-10.9813,0.0127,-13.4252,0.0096,-13.4252,0.0096,4.04,4284.738,147.3241,405,456,149.1253786,+69.1549996,289.494,857.797,20.18,0.001048241,3.055,0.673,0.02,7.658,dataset\i23.cat,gx_e
4448,-10.9807,0.0126,-12.1016,0.0182,-12.1016,0.0182,4.86,4392.66,147.3241,98,105,148.8998879,+69.2358708,1830.292,2413.052,4.73,0.0002459038,1.109,0.098,0.37,3.365,dataset\i23.cat,None
2815,-10.9776,0.0127,-12.0054,0.0190,-11.9509,0.0214,5.13,4897.466,147.3241,77,108,148.9941576,+69.1550881,1186.631,856.678,5.38,0.0002793198,1.317,0.241,0.08,3.056,dataset\i23.cat,None
600,-10.9771,0.0128,-11.6943,0.0194,-11.6943,0.0194,4.34,5057.549,147.3241,57,68,149.0485397,+69.1181043,814.187,144.222,3.99,0.0002071039,1.150,0.130,0.95,2.445,dataset\i23.cat,None
1861,-10.9762,0.0128,-11.5591,0.0193,-11.5591,0.0193,4.06,4586.916,147.3241,58,76,149.0708856,+69.1370559,661.799,509.851,3.79,0.0001969813,1.121,0.108,0.98,2.187,dataset\i23.cat,None
1980,-10.9759,0.0128,-11.3507,0.0185,-11.3507,0.0185,3.50,5487.651,147.3241,43,51,148.9337870,+69.1387623,1600.556,542.966,3.68,0.0001912574,1.123,0.110,0.97,1.876,dataset\i23.cat,None
3186,-10.9706,0.0128,-11.8116,0.0218,-11.6934,0.0237,5.04,5014.05,147.3241,76,84,148.8986513,+69.1639335,1841.254,1027.954,3.96,0.0002055411,1.115,0.103,0.95,2.721,dataset\i23.cat,None
843,-10.9698,0.0128,-12.8061,0.0171,-12.6482,0.0177,3.93,4972.36,147.3241,204,229,149.0631255,+69.1241255,714.934,259.887,9.86,0.0005122022,1.386,0.278,0.12,5.929,dataset\i23.cat,None
1355,-10.9693,0.0128,-12.4577,0.0136,-12.5282,0.0161,3.50,5904.819,147.3241,172,181,148.9204011,+69.1309649,1694.351,392.723,10.27,0.0005337177,1.583,0.368,0.02,4.026,dataset\i23.cat,None
1317,-10.9689,0.0128,-12.0663,0.0174,-12.0663,0.0174,4.15,5075.113,147.3241,106,131,149.0030716,+69.1294307,1125.518,362.311,5.18,0.0002690842,1.426,0.299,0.41,3.298,dataset\i23.cat,None
3280,-10.9658,0.0129,-12.1554,0.0191,-12.1554,0.0191,5.17,4358.994,147.3241,98,109,149.0727182,+69.1665568,649.032,1077.932,5.09,0.000264394,1.253,0.202,0.15,3.571,dataset\i23.cat,None
1839,-10.9636,0.0129,-12.0711,0.0188,-12.0711,0.0188,4.78,6083.039,147.3241,92,102,148.8909154,+69.1370236,1894.242,511.541,6.35,0.000330096,1.294,0.227,0.68,3.229,dataset\i23.cat,None
3640,-10.9628,0.0129,-12.2882,0.0142,-12.2882,0.0142,3.50,4752.424,147.3241,126,190,148.9483945,+69.1813587,1499.542,1361.746,9.20,0.0004780674,1.193,0.162,0.02,3.726,dataset\i23.cat,None
4464,-10.9616,0.0129,-11.1635,0.0189,-11.1635,0.0189,3.50,4412.399,147.3241,32,37,148.8805381,+69.2376751,1962.131,2448.019,3.18,0.0001653713,1.040,0.039,0.96,1.571,dataset\i23.cat,None
3124,-10.9611,0.0129,-11.4113,0.0183,-11.5453,0.0234,3.50,4820.856,147.3241,48,68,148.9912317,+69.1620996,1207.417,992.148,3.46,0.0001794981,1.012,0.012,0.98,1.962,dataset\i23.cat,None
1573,-10.9595,0.0130,-11.7201,0.0207,-11.7010,0.0232,3.94,5517.58,147.3241,74,83,148.9524729,+69.1326929,1473.055,426.378,7.74,0.0004022539,1.921,0.479,0.92,2.529,dataset\i23.cat,None
2054,-10.9572,0.0129,-12.6632,0.0152,-12.7680,0.0154,3.50,5854.048,147.3241,212,239,148.8954088,+69.1422206,1864.096,608.924,26.25,0.001363797,1.785,0.440,0.04,5.519,dataset\i23.cat,None
3269,-10.9509,0.0130,-11.7191,0.0197,-11.7191,0.0197,4.31,4904.372,147.3241,62,73,148.9187931,+69.1661270,1703.717,1069.531,5.44,0.0002826674,1.488,0.328,0.94,2.524,dataset\i23.cat,None
868,-10.9479,0.0130,-11.6157,0.0191,-11.6157,0.0191,3.50,4874.441,147.3241,70,95,149.0715744,+69.1223049,655.257,226.897,4.40,0.0002284596,1.477,0.323,0.84,2.320,dataset\i23.cat,None
2552,-10.9474,0.0131,-11.4114,0.0213,-11.4980,0.0217,3.96,5534.452,147.3241,53,59,148.8952265,+69.1490246,1864.760,740.669,3.88,0.0002017173,1.080,0.074,0.98,1.992,dataset\i23.cat,None
319,-10.9417,0.0131,-11.3443,0.0191,-11.3443,0.0191,3.50,5112.553,147.3241,45,54,149.0537780,+69.1142076,778.066,69.837,3.37,0.0001752799,1.090,0.083,0.97,1.878,dataset\i23.cat,None
4314,-10.9398,0.0131,-12.1112,0.0150,-12.1112,0.0150,3.70,4318.072,147.3241,111,118,149.0084526,+69.2163776,1088.831,2036.509,6.07,0.0003151346,1.108,0.097,0.03,3.341,dataset\i23.cat,fo
553,-10.9352,0.0132,-11.5068,0.0181,-11.5068,0.0181,3.50,4592.752,147.3241,57,65,149.1034708,+69.1171489,437.238,126.533,4.06,0.000210721,1.231,0.187,0.98,2.170,dataset\i23.cat,None
4566,-10.9319,0.0132,-12.7852,0.0128,-12.7852,0.0128,4.28,4303.6,147.3241,206,216,149.0778245,+69.2611891,615.366,2899.520,10.25,0.0005325601,1.455,0.313,0.02,4.844,dataset\i23.cat,fo
156,-10.9310,0.0133,-11.3235,0.0184,-11.3235,0.0184,3.50,4605.357,147.3241,44,48,149.1088401,+69.1122117,399.754,32.381,3.29,0.0001710798,1.098,0.089,0.97,1.843,dataset\i23.cat,None
3942,-10.9301,0.0132,-12.3295,0.0193,-12.1235,0.0217,5.31,4718.752,147.3241,109,137,148.9126741,+69.1950020,1743.804,1626.398,5.45,0.0002830387,1.815,0.449,0.21,4.524,dataset\i23.cat,None
